x,gluon_cv,gluon_sd
0.49887222,0.10167663,0.35455495
0.52228296,0.09172265,0.3900131
0.45271462,0.056383602,-0.14830443
0.5501665,0.14612179,-0.042479955
0.72759426,0.59742963,-0.38100863
0.24381858,0.094991304,0.16804397
0.016513795,1.1324251,-0.6491699
0.9181629,0.15562125,0.537175
0.113425836,0.6108363,-0.1717034
1.0194123,0.11585976,-0.063106045
0.85239315,-0.49755764,-0.033782482
-0.009504288,0.30630767,0.46968135
0.77851784,-0.43777487,-0.13921511
0.88472646,-0.00843681,-0.09922226
0.048599377,0.25677067,-0.037596278
0.43950194,0.07251281,-1.0874543
0.23965745,0.30995327,-0.47719535
0.93899655,-0.12422743,0.057926882
-0.14512531,0.011273503,-0.26418418
1.0631506,-0.18456438,-0.69242936
0.7847222,0.16679288,-0.22834143
-0.061889887,0.46716774,0.23559824
0.42656416,-0.2756005,-0.27849787
0.21390726,0.14196566,0.25356755
0.7127151,0.40064937,-0.38277858
0.048209637,0.15962598,0.25674823
0.17815979,0.5500419,0.18692435
0.78866494,-0.29448408,-0.25077644
0.15207668,0.13728642,0.2577748
-0.14432356,0.4968275,-0.60572475
0.35781887,0.1992145,-0.11309269
0.24352159,-0.07257262,-0.25790656
0.52386016,-0.4083148,-0.28389424
-0.03357984,0.008989368,-0.20416018
0.76553565,0.050269917,0.08346164
0.7276495,0.064196885,-0.947963
0.40314096,0.16815966,0.22407532
0.83216655,0.46171278,-0.36385664
0.74610853,0.16528453,-0.064079404
0.38079074,0.3096457,-0.28611016
0.6483747,0.28417164,0.26646
0.3571507,-0.20729028,0.16848743
0.28801787,-0.0983354,-0.03712313
1.0174823,-0.27482212,0.18546805
0.6932849,0.38140526,-0.22953561
0.93860793,-0.037289754,-0.1751358
0.54397434,-0.20856349,0.6121787
1.0927033,0.7853873,-0.9450836
0.7105795,-0.2290512,-0.4782464
0.74363387,0.60158324,-0.2204577
0.59580255,-0.011346832,-0.21299991
0.5286032,0.26629293,-1.1899127
0.16191605,-0.18563393,0.14848688
0.21869043,-0.042564005,-0.31894404
0.58977437,-0.057451487,0.2661593
0.57115144,-0.23389883,0.02053782
0.34519127,-0.5226377,0.57396036
1.071258,0.2208911,-0.37019858
1.0045592,-0.049789608,-0.24480438
0.80440795,-0.093308575,0.169475
0.5064802,0.16454229,-0.43218005
0.44801226,0.21601313,-0.14156765
0.50003505,-0.10619516,0.23723352
0.59367394,0.1901859,-0.33815584
0.67840695,0.06949106,-0.08694727
0.6735245,0.16693878,-0.5211631
0.8998289,0.24919888,-0.7679461
0.46271405,-0.24230075,0.22458175
1.0596572,-0.22109802,-0.34014377
0.6044812,-0.13121614,-0.9356564
0.27001274,-0.17362338,0.06617007
0.7742468,-0.12372966,0.32099852
0.64363456,0.083811216,-0.03322044
0.52030873,0.23153129,0.05017382
0.49390775,0.44437346,-0.20973742
0.6837615,0.18008631,-0.30613786
0.62521553,0.40491036,-0.25841355
0.44291246,0.2858729,-0.033259034
0.7170539,-0.43323287,-0.61670536
0.25225687,-0.42932042,0.16777034
0.40539107,0.29164627,-0.20003277
0.5780263,0.3378585,-0.36401927
0.8113287,-0.32516393,-0.15016584
0.39244407,0.17300174,-0.31682423
0.51664674,-0.4289531,0.21311344
0.59626615,0.06635283,-0.6059414
0.65332633,-0.037178695,-0.8167861
0.3373699,-0.27986032,0.13473263
0.346439,0.22481899,-0.38060468
-0.056267228,-0.0956271,-0.54903424
0.4191327,-0.3238843,-0.028046697
0.68987995,0.12991941,-0.49064165
0.20787862,0.03645821,0.06520809
-0.014289048,0.42855528,-0.6830829
0.99274564,0.15163451,-0.34152815
0.59132946,0.26113746,-0.0067103133
0.49623418,0.3218576,-0.1244165
0.8026328,0.1675561,0.21199493
0.35029143,0.7421808,0.040547058
0.6134698,0.12609422,-0.57337815
